 aa352   a5
 e54ed    0
 e54f1    0
 e54f4    1
 e562d    0
 e5631    0
 e5634    1
 e576d    0
 e5771    0
 e5774    0
 e5777    1
 e58b0    0
 e58b4    0
 e58b7    1
 e59f0    0
 e59f4    0
 e59f7    1
 e5b30    8
 e5b34    8
 e5b37    8
 e5b3a    9
 e5c73    8
 e5c77    8
 e5c7a    9
 e5db3    8
 e5db7    8
 e5dba    9
 e5ef3    1
 e5ef6    1
 e5ef9    1
 e5efc    0
 e5f00    0
 e5f03    0
 e5f06    0
 e5f09    0
 e5f0c    1
 e6045    0
 e6049    0
 e604c    1
 e6185    0
 e6189    0
 e618c    0
 e618f    1
 e62c8    0
 e62cc    0
 e62cf    1
 e6408    0
 e640c    0
 e640f    1
 e6548    0
 e654c    0
 e654f    0
 e6552    1
 e668b    0
 e668f    0
 e6692    1
 e67cb    0
 e67cf    0
 e67d2    1
 e690b    0
 e690f    0
 e6912    0
 e6915    1
 e6a4e    0
 e6a52    0
 e6a55    1
 e6b8e    0
 e6b92    0
 e6b95    1
 e6cce    0
 e6cd2    0
 e6cd5    0
 e6cd8    1
 e6e11    0
 e6e15    0
 e6e18    1
 e6e1e    1
 e6e21    1
 e6e24    1
 e6e27    0
 e6e2b    0
 e6e2e    0
 e6e31    0
 e6e34    0
 e6e37    1
 e6e3d    1
 e6e40    1
 e6e43    1
 e6e46    0
 e6e4a    0
 e6e4d    0
 e6e50    0
 e6e53    0
 e6e56    1
 e6e5c    1
 e6e5f    1
 e6e62    1
 e6e65    0
 e6e69    0
 e6e6c    0
 e6e6f    0
 e6e72    0
 e6e75    1
 e6e7b    1
 e6e7e    1
 e6e81    1
 e6e84    0
 e6e88    0
 e6e8b    0
 e6e8e    0
 e6e91    0
 e6e94    1
 e6e9a    1
 e6e9d    1
 e6ea0    1
 e6ea3    0
 e6ea7    0
 e6eaa    0
 e6ead    0
 e6eb0    0
 e6eb3    1
 e6eb9    1
 e6ebc    1
 e6ebf    1
 e6ec2    0
 e6ec6    0
 e6ec9    0
 e6ecc    0
 e6ecf    0
 e6ed2    1
 e6ed8    1
 e6edb    1
 e6ede    1
 e6ee1    0
 e6ee5    0
 e6ee8    0
 e6eeb    0
 e6eee    0
 e6ef1    1
 e6ef7    1
 e6efa    1
 e6efd    1
 e6f00    0
 e6f04    0
 e6f07    0
 e6f0a    0
 e6f0d    0
 e6f10    1
 e6f16    1
 e6f19    1
 e6f1c    1
 e6f1f    0
 e6f23    0
 e6f26    0
 e6f29    0
 e6f2c    0
 e6f2f    1
 e6f35    1
 e6f38    1
 e6f3b    1
 e6f3e    0
 e6f42    0
 e6f45    0
 e6f48    0
 e6f4b    0
 e6f4e    1
 e6f54    1
 e6f57    1
 e6f5a    1
 e6f5d    0
 e6f61    0
 e6f64    0
 e6f67    0
 e6f6a    0
 e6f6d    1
 e6f73    1
 e6f76    1
 e6f79    1
 e6f7c    0
 e6f80    0
 e6f83    0
 e6f86    0
 e6f89    0
 e6f8c    1
 e6f92    1
 e6f95    1
 e6f98    1
 e6f9b    0
 e6f9f    0
 e6fa2    0
 e6fa5    0
 e6fa8    0
 e6fab    1
 e6fb1    1
 e6fb4    1
 e6fb7    1
 e6fba    0
 e6fbe    0
 e6fc1    0
 e6fc4    0
 e6fc7    0
 e6fca    1
 e6fd0    1
 e6fd3    1
 e6fd6    1
 e6fd9    0
 e6fdd    0
 e6fe0    0
 e6fe3    0
 e6fe6    0
 e6fe9    1
 e6fef    1
 e6ff2    1
 e6ff5    1
 e6ff8    0
 e6ffc    0
 e6fff    0
 e7002    0
 e7005    0
 e7008    1
 e700e    1
 e7011    1
 e7014    1
 e7017    0
 e701b    0
 e701e    0
 e7021    0
 e7024    0
 e7027    1
 e702d    1
 e7030    1
 e7033    1
 e7036    0
 e703a    0
 e703d    0
 e7040    0
 e7043    0
 e7046    1
 e704c    1
 e704f    1
 e7052    1
 e7055    0
 e7059    0
 e705c    0
 e705f    0
 e7062    0
 e7065    1
 e706b    1
 e706e    1
 e7071    1
 e7074    0
 e7078    0
 e707b    0
 e707e    0
 e7081    0
 e7084    1
 e708a    1
 e708d    1
 e7090    1
 e7093    0
 e7097    0
 e709a    0
 e709d    0
 e70a0    0
 e70a3    1
 e70a9    1
 e70ac    1
 e70af    1
 e70b2    0
 e70b6    0
 e70b9    0
 e70bc    0
 e70bf    0
 e70c2    1
 e70c8    1
 e70cb    1
 e70ce    1
 e70d1    0
 e70d5    0
 e70d8    0
 e70db    0
 e70de    0
 e70e1    1
 e70e7    1
 e70ea    1
 e70ed    1
 e70f0    0
 e70f4    0
 e70f7    0
 e70fa    0
 e70fd    0
 e7100    1
 e7106    1
 e7109    1
 e710c    1
 e710f    0
 e7113    0
 e7116    0
 e7119    0
 e711c    0
 e711f    1
 e7125    1
 e7128    1
 e712b    1
 e712e    0
 e7132    0
 e7135    0
 e7138    0
 e713b    0
 e713e    1
 e7144    1
 e7147    1
 e714a    1
 e714d    0
 e7151    0
 e7154    0
 e7157    0
 e715a    0
 e715d    1
 e7163    1
 e7166    1
 e7169    1
 e716c    0
 e7170    0
 e7173    0
 e7176    0
 e7179    0
 e717c    1
 e7182    1
 e7185    1
 e7188    1
 e718b    0
 e718f    0
 e7192    0
 e7195    0
 e7198    0
 e719b    1
 e71a1    1
 e71a4    1
 e71a7    1
 e71aa    0
 e71ae    0
 e71b1    0
 e71b4    0
 e71b7    0
 e71ba    1
 e71c0    1
 e71c3    1
 e71c6    1
 e71c9    0
 e71cd    0
 e71d0    0
 e71d3    0
 e71d6    0
 e71d9    1
 e71df    1
 e71e2    1
 e71e5    1
 e71e8    0
 e71ec    0
 e71ef    0
 e71f2    0
 e71f5    0
 e71f8    1
 e71fe    1
 e7201    1
 e7204    1
 e7207    0
 e720b    0
 e720e    0
 e7211    0
 e7214    0
 e7217    1
 e721d    1
 e7220    1
 e7223    1
 e7226    0
 e722a    0
 e722d    0
 e7230    0
 e7233    0
 e7236    1
 e723c    1
 e723f    1
 e7242    1
 e7245    0
 e7249    0
 e724c    0
 e724f    0
 e7252    0
 e7255    1
 e725b    1
 e725e    1
 e7261    1
 e7264    0
 e7268    0
 e726b    0
 e726e    0
 e7271    0
 e7274    1
 e727a    1
 e727d    1
 e7280    1
 e7283    0
 e7287    0
 e728a    0
 e728d    0
 e7290    0
 e7293    1
 e7299    1
 e729c    1
 e729f    1
 e72a2    0
 e72a6    0
 e72a9    0
 e72ac    0
 e72af    0
 e72b2    1
 e72b8    1
 e72bb    1
 e72be    1
 e72c1    0
 e72c5    0
 e72c8    0
 e72cb    0
 e72ce    0
 e72d1    1
 e72d7    1
 e72da    1
 e72dd    1
 e72e0    0
 e72e4    0
 e72e7    0
 e72ea    0
 e72ed    0
 e72f0    1
 e72f6    1
 e72f9    1
 e72fc    1
 e72ff    0
 e7303    0
 e7306    0
 e7309    0
 e730c    0
 e730f    1
 e7315    1
 e7318    1
 e731b    1
 e731e    0
 e7322    0
 e7325    0
 e7328    0
 e732b    0
 e732e    1
 e7334    1
 e7337    1
 e733a    1
 e733d    0
 e7341    0
 e7344    0
 e7347    0
 e734a    0
 e734d    1
 e7353    1
 e7356    1
 e7359    1
 e735c    0
 e7360    0
 e7363    0
 e7366    0
 e7369    0
 e736c    1
 e7372    1
 e7375    1
 e7378    1
 e737b    0
 e737f    0
 e7382    0
 e7385    0
 e7388    0
 e738b    1
 e7391    1
 e7394    1
 e7397    1
 e739a    0
 e739e    0
 e73a1    0
 e73a4    0
 e73a7    0
 e73aa    1
 e73b0    1
 e73b3    1
 e73b6    1
 e73b9    0
 e73bd    0
 e73c0    0
 e73c3    0
 e73c6    0
 e73c9    1
 e73cf    1
 e73d2    1
 e73d5    1
 e73d8    0
 e73dc    0
 e73df    0
 e73e2    0
 e73e5    0
 e73e8    1
 e7679    0
 e767d    0
 e7680    0
 e7683    0
 e7686    0
 e7689    1
 e778e    1
 e7791    1
 e7794    1
 e7797    1
 e779a    0
 e779e    0
 e77a1    0
 e77a4    0
 e77a7    0
 e77aa    1
 e78af    1
 e78b2    1
 e78b5    1
 e78b8    1
 e78bb    0
 e78bf    0
 e78c2    0
 e78c5    0
 e78c8    0
 e78cb    1
 e79d0    1
 e79d3    1
 e79d6    1
 e79d9    0
 e79dd    0
 e79e0    0
 e79e3    0
 e79e6    0
 e79e9    1
 e7aee    1
 e7af1    1
 e7af4    1
 e7af7    1
 e7afa    0
 e7afe    0
 e7b01    0
 e7b04    0
 e7b07    0
 e7b0a    1
 e7c0f    9
 e7c12    9
 e7c15    9
 e7c18    9
 e7c1b    8
 e7c1f    8
 e7c22    8
 e7c25    8
 e7c28    8
 e7c2b    9
 e7d30    9
 e7d33    9
 e7d36    9
 e7d39    8
 e7d3d    8
 e7d40    8
 e7d43    8
 e7d46    8
 e7d49    9
 e7e4e    9
 e7e51    9
 e7e54    9
 e7e57    9
 e7e5a    8
 e7e5e    8
 e7e61    8
 e7e64    8
 e7e67    8
 e7e6a    9
 e7f6f    0
 e7f73    0
 e7f76    0
 e7f79    1
 e807e    1
 e8081    1
 e8084    1
 e8087    1
 e808a    0
 e808e    0
 e8091    0
 e8094    0
 e8097    0
 e809a    1
 e819f    1
 e81a2    1
 e81a5    1
 e81a8    1
 e81ab    0
 e81af    0
 e81b2    0
 e81b5    0
 e81b8    0
 e81bb    1
 e82c0    1
 e82c3    1
 e82c6    1
 e82c9    0
 e82cd    0
 e82d0    0
 e82d3    0
 e82d6    0
 e82d9    1
 e83de    1
 e83e1    1
 e83e4    1
 e83e7    1
 e83ea    0
 e83ee    0
 e83f1    0
 e83f4    0
 e83f7    0
 e83fa    1
 e84ff    1
 e8502    1
 e8505    1
 e8508    1
 e850b    0
 e850f    0
 e8512    0
 e8515    0
 e8518    0
 e851b    1
 e8620    1
 e8623    1
 e8626    1
 e8629    0
 e862d    0
 e8630    0
 e8633    0
 e8636    0
 e8639    1
 e873e    1
 e8741    1
 e8744    1
 e8747    1
 e874a    0
 e874e    0
 e8751    0
 e8754    0
 e8757    0
 e875a    1
 e885f    1
 e8862    1
 e8865    1
 e8868    1
 e886b    0
 e886f    0
 e8872    0
 e8875    0
 e8878    0
 e887b    1
 e8980    1
 e8983    1
 e8986    1
 e8989    0
 e898d    0
 e8990    0
 e8993    0
 e8996    0
 e8999    1
 e8a9e    1
 e8aa1    1
 e8aa4    1
 e8aa7    1
 e8aaa    0
 e8aae    0
 e8ab1    0
 e8ab4    0
 e8ab7    0
 e8aba    1
 e8bbf    1
 e8bc2    1
 e8bc5    1
 e8bc8    1
 e8bcb    0
 e8bcf    0
 e8bd2    0
 e8bd5    0
 e8bd8    0
 e8bdb    1
 e8ce0    1
 e8ce3    1
 e8ce6    1
 e8ce9    0
 e8ced    0
 e8cf0    0
 e8cf3    0
 e8cf6    0
 e8cf9    1
 e8dfe    1
 e8e01    1
 e8e04    1
 e8e07    1
 e8e0a    0
 e8e0e    0
 e8e11    0
 e8e14    0
 e8e17    0
 e8e1a    1
 e8f1f    1
 e8f22    1
 e8f25    1
 e8f28    1
 e8f2b    0
 e8f2f    0
 e8f32    0
 e8f35    0
 e8f38    0
 e8f3b    1
 e9040    1
 e9043    1
 e9046    1
 e9049    0
 e904d    0
 e9050    0
 e9053    0
 e9056    0
 e9059    1
 e915e    1
 e9161    1
 e9164    1
 e9167    1
 e916a    0
 e916e    0
 e9171    0
 e9174    0
 e9177    0
 e917a    1
 e927f    1
 e9282    1
 e9285    1
 e9288    1
 e928b    0
 e928f    0
 e9292    0
 e9295    0
 e9298    0
 e929b    1
 e93a0    1
 e93a3    1
 e93a6    1
 e93a9    0
 e93ad    0
 e93b0    0
 e93b3    0
 e93b6    0
 e93b9    1
 e94be    1
 e94c1    1
 e94c4    1
 e94c7    1
 e94ca    0
 e94ce    0
 e94d1    0
 e94d4    0
 e94d7    0
 e94da    1
 e95df    1
 e95e2    1
 e95e5    1
 e95e8    1
 e95eb    0
 e95ef    0
 e95f2    0
 e95f5    0
 e95f8    0
 e95fb    1
 e9700    1
 e9703    1
 e9706    1
 e9709    0
 e970d    0
 e9710    0
 e9713    0
 e9716    0
 e9719    1
 e981e    1
 e9821    1
 e9824    1
 e9827    1
 e982a    0
 e982e    0
 e9831    0
 e9834    0
 e9837    0
 e983a    1
 e993f    1
 e9942    1
 e9945    1
 e9948    1
 e994b    0
 e994f    0
 e9952    0
 e9955    0
 e9958    0
 e995b    1
 e9a60    1
 e9a63    1
 e9a66    1
 e9a69    0
 e9a6d    0
 e9a70    0
 e9a73    0
 e9a76    0
 e9a79    1
 e9b7e    1
 e9b81    1
 e9b84    1
 e9b87    1
 e9b8a    0
 e9b8e    0
 e9b91    0
 e9b94    0
 e9b97    0
 e9b9a    1
 e9c9f    1
 e9ca2    1
 e9ca5    1
 e9ca8    1
 e9cab    8
 e9caf    8
 e9cb2    8
 e9cb5    8
 e9cb8    8
 e9cbb    9
 e9dc0    9
 e9dc3    9
 e9dc6    9
 e9dc9    8
 e9dcd    8
 e9dd0    8
 e9dd3    8
 e9dd6    8
 e9dd9    9
 e9ede    9
 e9ee1    9
 e9ee4    9
 e9ee7    9
 e9eea    8
 e9eee    8
 e9ef1    8
 e9ef4    8
 e9ef7    8
 e9efa    9
 e9fff    0
 ea003    0
 ea006    0
 ea009    1
 ea10e    1
 ea111    1
 ea114    1
 ea117    1
 ea11a    0
 ea11e    0
 ea121    0
 ea124    0
 ea127    0
 ea12a    1
 ea22f    1
 ea232    1
 ea235    1
 ea238    1
 ea23b    0
 ea23f    0
 ea242    0
 ea245    0
 ea248    0
 ea24b    1
 ea350    1
 ea353    1
 ea356    1
 ea359    0
 ea35d    0
 ea360    0
 ea363    0
 ea366    0
 ea369    1
 ea46e    1
 ea471    1
 ea474    1
 ea477    1
 ea47a    0
 ea47e    0
 ea481    0
 ea484    0
 ea487    0
 ea48a    1
 ea58f    1
 ea592    1
 ea595    1
 ea598    1
 ea59b    0
 ea59f    0
 ea5a2    0
 ea5a5    0
 ea5a8    0
 ea5ab    1
 ea6b0    1
 ea6b3    1
 ea6b6    1
 ea6b9    0
 ea6bd    0
 ea6c0    0
 ea6c3    0
 ea6c6    0
 ea6c9    1
 ea7ce    1
 ea7d1    1
 ea7d4    1
 ea7d7    1
 ea7da    0
 ea7de    0
 ea7e1    0
 ea7e4    0
 ea7e7    0
 ea7ea    1
 ea8ef    1
 ea8f2    1
 ea8f5    1
 ea8f8    1
 ea8fb    0
 ea8ff    0
 ea902    0
 ea905    0
 ea908    0
 ea90b    1
 eaa10    1
 eaa13    1
 eaa16    1
 eaa19    0
 eaa1d    0
 eaa20    0
 eaa23    0
 eaa26    0
 eaa29    1
 eab2e    1
 eab31    1
 eab34    1
 eab37    1
 eab3a    0
 eab3e    0
 eab41    0
 eab44    0
 eab47    0
 eab4a    1
 eac4f    1
 eac52    1
 eac55    1
 eac58    1
 eac5b    0
 eac5f    0
 eac62    0
 eac65    0
 eac68    0
 eac6b    1
 ead70    1
 ead73    1
 ead76    1
 ead79    0
 ead7d    0
 ead80    0
 ead83    0
 ead86    0
 ead89    1
 eae8e    1
 eae91    1
 eae94    1
 eae97    1
 eae9a    0
 eae9e    0
 eaea1    0
 eaea4    0
 eaea7    0
 eaeaa    1
 eafaf    1
 eafb2    1
 eafb5    1
 eafb8    1
 eafbb    0
 eafbf    0
 eafc2    0
 eafc5    0
 eafc8    0
 eafcb    1
 eb0d0    1
 eb0d3    1
 eb0d6    1
 eb0d9    0
 eb0dd    0
 eb0e0    0
 eb0e3    0
 eb0e6    0
 eb0e9    1
 eb1ee    1
 eb1f1    1
 eb1f4    1
 eb1f7    1
 eb1fa    0
 eb1fe    0
 eb201    0
 eb204    0
 eb207    0
 eb20a    1
 eb30f    1
 eb312    1
 eb315    1
 eb318    1
 eb31b    0
 eb31f    0
 eb322    0
 eb325    0
 eb328    0
 eb32b    1
 eb430    1
 eb433    1
 eb436    1
 eb439    0
 eb43d    0
 eb440    0
 eb443    0
 eb446    0
 eb449    1
 eb54e    1
 eb551    1
 eb554    1
 eb557    1
 eb55a    0
 eb55e    0
 eb561    0
 eb564    0
 eb567    0
 eb56a    1
 eb66f    1
 eb672    1
 eb675    1
 eb678    1
 eb67b    0
 eb67f    0
 eb682    0
 eb685    0
 eb688    0
 eb68b    1
 eb790    1
 eb793    1
 eb796    1
 eb799    0
 eb79d    0
 eb7a0    0
 eb7a3    0
 eb7a6    0
 eb7a9    1
 eb8ae    1
 eb8b1    1
 eb8b4    1
 eb8b7    1
 eb8ba    0
 eb8be    0
 eb8c1    0
 eb8c4    0
 eb8c7    0
 eb8ca    1
 eb9cf    1
 eb9d2    1
 eb9d5    1
 eb9d8    1
 eb9db    0
 eb9df    0
 eb9e2    0
 eb9e5    0
 eb9e8    0
 eb9eb    1
 ebaf0    1
 ebaf3    1
 ebaf6    1
 ebaf9    0
 ebafd    0
 ebb00    0
 ebb03    0
 ebb06    0
 ebb09    1
 ebc92    1
 ebc95    1
 ebc98    1
 ebc9b    0
 ebc9f    0
 ebca2    0
 ebca5    0
 ebca8    0
 ebcab    1
 ebdb0    9
 ebdb3    9
 ebdb6    9
 ebdb9    9
 ebdbc    8
 ebdc0    8
 ebdc3    8
 ebdc6    8
 ebdc9    8
 ebdcc    9
 ebed1    9
 ebed4    9
 ebed7    9
 ebeda    8
 ebede    8
 ebee1    8
 ebee4    8
 ebee7    8
 ebeea    9
 ebfef    9
 ebff2    9
 ebff5    9
 ebff8    9
 ebffb    8
 ebfff    8
 ec002    8
 ec005    8
 ec008    8
 ec00b    9
 ec110    0
 ec114    0
 ec117    0
 ec11a    1
 ec21f    1
 ec222    1
 ec225    1
 ec228    1
 ec22b    0
 ec22f    0
 ec232    0
 ec235    0
 ec238    0
 ec23b    1
 ec340    1
 ec343    1
 ec346    1
 ec349    1
 ec34c    0
 ec350    0
 ec353    0
 ec356    0
 ec359    0
 ec35c    1
 ec461    1
 ec464    1
 ec467    1
 ec46a    0
 ec46e    0
 ec471    0
 ec474    0
 ec477    0
 ec47a    1
 ec57f    1
 ec582    1
 ec585    1
 ec588    1
 ec58b    0
 ec58f    0
 ec592    0
 ec595    0
 ec598    0
 ec59b    1
 ec6ac    0
 ec6b0    0
 ec6b3    0
 ec6b6    0
 ec6b9    1
 ec7be    1
 ec7c1    1
 ec7c4    1
 ec7c7    1
 ec7ca    0
 ec7ce    0
 ec7d1    0
 ec7d4    0
 ec7d7    0
 ec7da    1
 ec8df    1
 ec8e2    1
 ec8e5    1
 ec8e8    1
 ec8eb    0
 ec8ef    0
 ec8f2    0
 ec8f5    0
 ec8f8    0
 ec8fb    1
 eca00    1
 eca03    1
 eca06    1
 eca09    0
 eca0d    0
 eca10    0
 eca13    0
 eca16    0
 eca19    1
 ecb1e    1
 ecb21    1
 ecb24    1
 ecb27    1
 ecb2a    0
 ecb2e    0
 ecb31    0
 ecb34    0
 ecb37    0
 ecb3a    1
 ecc3f    1
 ecc42    1
 ecc45    1
 ecc48    1
 ecc4b    0
 ecc4f    0
 ecc52    0
 ecc55    0
 ecc58    0
 ecc5b    1
 ecd60    1
 ecd63    1
 ecd66    1
 ecd69    0
 ecd6d    0
 ecd70    0
 ecd73    0
 ecd76    0
 ecd79    1
 ece7e    1
 ece81    1
 ece84    1
 ece87    1
 ece8a    0
 ece8e    0
 ece91    0
 ece94    0
 ece97    0
 ece9a    1
 ecf9f    1
 ecfa2    1
 ecfa5    1
 ecfa8    1
 ecfab    0
 ecfaf    0
 ecfb2    0
 ecfb5    0
 ecfb8    0
 ecfbb    1
 ed0c9    0
 ed0cd    0
 ed0d0    0
 ed0d3    0
 ed0d6    0
 ed0d9    1
 ed1de    1
 ed1e1    1
 ed1e4    1
 ed1e7    1
 ed1ea    0
 ed1ee    0
 ed1f1    0
 ed1f4    0
 ed1f7    0
 ed1fa    1
 ed2ff    1
 ed302    1
 ed305    1
 ed308    1
 ed30b    0
 ed30f    0
 ed312    0
 ed315    0
 ed318    0
 ed31b    1
 ed420    1
 ed423    1
 ed426    1
 ed429    0
 ed42d    0
 ed430    0
 ed433    0
 ed436    0
 ed439    1
 ed53e    1
 ed541    1
 ed544    1
 ed547    1
 ed54a    0
 ed54e    0
 ed551    0
 ed554    0
 ed557    0
 ed55a    1
 ed65f    1
 ed662    1
 ed665    1
 ed668    1
 ed66b    0
 ed66f    0
 ed672    0
 ed675    0
 ed678    0
 ed67b    1
 ed780    1
 ed783    1
 ed786    1
 ed789    0
 ed78d    0
 ed790    0
 ed793    0
 ed796    0
 ed799    1
 ed929    1
 ed92c    0
 ed930    0
 ed933    0
 ed936    0
 ed939    0
 ed93c    1
 eda41    1
 eda44    1
 eda47    1
 eda4a    1
 eda4d    0
 eda51    0
 eda54    0
 eda57    0
 eda5a    0
 eda5d    1
 edb62    1
 edb65    1
 edb68    1
 edb6b    0
 edb6f    0
 edb72    0
 edb75    0
 edb78    0
 edb7b    1
 edc80    1
 edc83    1
 edc86    1
 edc89    1
 edc8c    0
 edc90    0
 edc93    0
 edc96    0
 edc99    0
 edc9c    1
 edda1    1
 edda4    1
 edda7    1
 eddaa    1
 eddad    0
 eddb1    0
 eddb4    0
 eddb7    0
 eddba    0
 eddbd    1
 edec2    9
 edec5    9
 edec8    9
 edecb    8
 edecf    8
 eded2    8
 eded5    8
 eded8    8
 ededb    9
 edfe0    9
 edfe3    9
 edfe6    9
 edfe9    9
 edfec    8
 edff0    8
 edff3    8
 edff6    8
 edff9    8
 edffc    9
 ee101    9
 ee104    9
 ee107    9
 ee10a    9
 ee10d    8
 ee111    8
 ee114    8
 ee117    8
 ee11a    8
 ee11d    0
 ee120    0
 ee123    0
 ee126    0
 ee129    0
 ee12c    1
 ee231    1
 ee234    1
 ee237    1
 ee23a    1
 ee23d    0
 ee241    0
 ee244    0
 ee247    0
 ee24a    0
 ee24d    1
 ee352    1
 ee355    1
 ee358    1
 ee35b    0
 ee35f    0
 ee362    0
 ee365    0
 ee368    0
 ee36b    1
 ee470    1
 ee473    1
 ee476    1
 ee479    1
 ee47c    0
 ee480    0
 ee483    0
 ee486    0
 ee489    0
 ee48c    1
 ee591    1
 ee594    1
 ee597    1
 ee59a    1
 ee59d    0
 ee5a1    0
 ee5a4    0
 ee5a7    0
 ee5aa    0
 ee5ad    1
 ee6b2    1
 ee6b5    1
 ee6b8    1
 ee6bb    0
 ee6bf    0
 ee6c2    0
 ee6c5    0
 ee6c8    0
 ee6cb    1
 ee7d0    1
 ee7d3    1
 ee7d6    1
 ee7d9    1
 ee7dc    0
 ee7e0    0
 ee7e3    0
 ee7e6    0
 ee7e9    0
 ee7ec    1
 ee8f1    1
 ee8f4    1
 ee8f7    1
 ee8fa    1
 ee8fd    0
 ee901    0
 ee904    0
 ee907    0
 ee90a    0
 ee90d    1
 eea12    1
 eea15    1
 eea18    1
 eea1b    0
 eea1f    0
 eea22    0
 eea25    0
 eea28    0
 eea2b    1
 eeb30    1
 eeb33    1
 eeb36    1
 eeb39    1
 eeb3c    0
 eeb40    0
 eeb43    0
 eeb46    0
 eeb49    0
 eeb4c    1
 eec51    1
 eec54    1
 eec57    1
 eec5a    1
 eec5d    0
 eec61    0
 eec64    0
 eec67    0
 eec6a    0
 eec6d    1
 eedfe    0
 eee02    0
 eee05    0
 eee08    0
 eee0b    0
 eee0e    1
 eef13    1
 eef16    1
 eef19    1
 eef1c    0
 eef20    0
 eef23    0
 eef26    0
 eef29    0
 eef2c    1
 ef031    1
 ef034    1
 ef037    1
 ef03a    1
